Loading repository data...
Reading installed packages...

S  | Name                                  | Type    | Version                             | Arch   | Repository             
i  | freecell-solver-presets               | package | 5.0.0-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | ft2demos                              | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftbench                               | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftdiff                                | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftdump                                | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftgamma                               | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftgrid                                | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftinspect                             | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftlint                                | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftmulti                               | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftstring                              | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftvalid                               | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | ftview                                | package | 2.9.1-2.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | fuse                                  | package | 2.9.8-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | fwupd                                 | package | 1.1.2-4.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | fwupd-lang                            | package | 1.1.2-4.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | games                                 | pattern | 20170319-1.3                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | gamin-server                          | package | 0.1.10-14.2                         | x86_64 | openSUSE-Tumbleweed-Oss
i  | gawk                                  | package | 4.2.1-1.8                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | gcab                                  | package | 1.2-1.1                             | x86_64 | openSUSE-Tumbleweed-Oss
i  | gcab-lang                             | package | 1.2-1.1                             | noarch | openSUSE-Tumbleweed-Oss
i  | gconf-polkit                          | package | 3.2.6-12.3                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | gconf2                                | package | 3.2.6-12.3                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | gconf2-branding-openSUSE              | package | 42.3-1.3                            | noarch | openSUSE-Tumbleweed-Oss
i  | gconf2-lang                           | package | 3.2.6-12.3                          | noarch | openSUSE-Tumbleweed-Oss
i  | gcr-data                              | package | 3.28.0-1.2                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | gcr-lang                              | package | 3.28.0-1.2                          | noarch | openSUSE-Tumbleweed-Oss
i  | gcr-prompter                          | package | 3.28.0-1.2                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | gcr-viewer                            | package | 3.28.0-1.2                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | gdb                                   | package | 8.2-2.1                             | x86_64 | openSUSE-Tumbleweed-Oss
